,Name,Type,Duration,Year,Director,Actor,Language,Reviews,Rank,Country,Century
168, Any Day Now,Drama / Gay,97,2012,Travis Finn,Alan Cumming / Garret Dillahunt / Isaac Leyva,English,3693,8.0,USA,21.10
169,dear grandma dear grandma,Drama,117,2012,Qu Youning,Zhang Xiuyun / Ke Yulun / Lin Meixiu,Mandarin,3538,8.0,ChinaTaiwan,21.10
170, Quartet,Comedy / Drama,98,2012,Dustin Hoffman,Maggie Smith / Tom Courtenay / Billy Connolly,English,16613,8.1,UK,21.10
171,2： Star Trek Into Darkness,Action / Sci-Fi / Adventure,132,2013,J.J. Abrams,Chris Pine / Zachary Quinto / Zoe Saldana,English,206047,8.0,USA,21.10
172, Du vent dans mes mollets,Comedy,89,2012,Carine Tardieu,"Agnès Xavier, Denis Podalides, Isabelle Carre",French,4867,8.2,France,21.10
173,montage ,Drama / Crime / Thriller,120,2013,Jung Geun Sub,Kim Sang-kyung / Um Jung-hwa / Song Yong-chang,Korean,112774,8.2,South Korea,21.10
174,Legend 42 42,Biography / Drama / Sports,128,2013,Brian Helgeland,Chadwick Boseman / Harrison Ford / Nicole Beharie,English,17906,8.0,USA,21.10
175, Unfinished Song,Drama / Comedy / Romance / Music,93,2012,Paul Andrew Williams,Gemma Arterton / Christopher Eccleston / Vanessa Redgrave,English,3465,8.1,UK/Germany,21.10
176, What Maisie Knew,Drama,99,2012,Scott McGee / David Siegel,"Anata Applo, Alexander Skarsgard, Julianne Moore",English,11256,8.2,USA,21.10
177, Disconnect,Drama / Thriller,115,2012,Henry Alex Rubin,"Jason Bateman, Hope Davis, Frank Grillo",English,21141,8.0,USA,21.10
178, Hannah Arendt,Drama / Biography,113,2012,Margaret von Trotta,"Barbara Sukova, Jenny McTeer, Julia Yinch",German,14543,8.2,Germany/Luxembourg/France,21.10
179,Daimei,Drama / History / Costumes,109,2013,Wang Jing,Feng Yuanzheng / Dai Liren / Feng Bo,Mandarin,80472,8.1,Mainland China,21.10
180, La grande bellezza,Drama,141,2013,Paul Sorrentino,Tony Cervero / Carlo Verdone / Sabrina Ferrilli,Italian,48180,8.2,Italy/France,21.10
181, Prisoners,Drama / Crime / Mystery,153,2013,Denis Villeneuve,Hugh Jackman / Jake Gyllenhaal / Viola Davis,English,104340,8.1,USA,21.10
182, Captain Phillips,Drama / Biography / Thriller,134,2013,Paul Greenglass,Tom Hanks / Bahad Abadi / Bahad Abdi,English,103100,8.2,USA,21.10
183,2 Insidious: Chapter 2,Thriller / Horror,106,2013,Wen Ziren,Patrick Wilson / Rose Byrne / Ty Simpkins,English,103823,8.2,USA / Canada,21.10
184, Petite maman,Drama / Fantasy,72,2021,Celine Sciamma,Josephine Sands / Gabriel Sands / Nina Merrith,French,10393,7.9,France,21.20
185,Drive My Car,Drama,179,2021,Hamaguchi Ryusuke,Hidetoshi Nishijima / Toko Miura / Yuka 雾 岛,Japanese,77307,7.9,Japan,21.20
186, El último traje,Drama,91,2017,Paul Solarz,"Angela Molina, Martin Piroyansky, Natalia Warback",Spanish,6409,8.1,Argentina/Spain,21.10
187,"Quo Vadis, Aida?",Drama / History / War,101,2020,Yasmila Zhibanic,Yasna Duricic / Izdin Bajovic / Dino Bajrovic,Serbo-Croatian,7515,7.9,Bosnia and Herzegovina/Austria/Romania/Netherlands/Germany/Poland/France/Norway/Turkey,21.20
188, Zack Snyder's Justice League,Action / Sci-Fi / Fantasy / Adventure,242,2021,Zach Snyder,Ben Affleck / Henry Cavill / Gal Gadot,English,272862,8.1,USA,21.20
189,solitary,Drama / Family,123,2020,Xu Chengjie,Chen Shufang / Xie Yingxuan / Xu Ruoxuan,Mandarin,72376,8.0,ChinaTaiwan,21.20
190, Persischstunden,Drama,127,2020,Vadim Perlman,"Naville Perez Biscayatt, Lars Eddinger, Jonas Nighy",German,291755,8.1,Russia/Germany/Belarus,21.20
191, Le Meilleur reste à venir,Drama / Comedy,117,2019,Alexandre de la Bartlier / Matthew De Laporte,"Fabrice Luchini, Patrick Brewer, Ginab Tricchi",French,4959,8.1,France/Belgium,21.10
192,young you,Drama / Romance / Crime,135,2019,Zeng Guoxiang,Zhou Dongyu / Yi Yang Qianxi / Yin Fang,Mandarin,1366735,8.2,Mainland China/Hong Kong,21.10
193,every day is a good day,Drama,100,2018,Tatsushi Omori,Kuroki Hua / Tree Shirin / Tobe Mikako,Japanese,44825,8.2,Japan,21.10
194, Lone Survivor,Drama / Biography / Action / War,121,2013,Peter Berg,Mark Wahlberg / Taylor Kitsch / Emile Hirsch,English,58439,8.1,USA/UK,21.10
195, Blue Jasmine,Drama / Family,98,2013,Woody Allen,Cate Blanchett / Sally Hawkins / Alec Baldwin,English,144247,8.0,USA,21.10
196,August: Osage County,Drama / Family,121,2013,John Wells,Julia Roberts / Meryl Streep / Ewan McGregor,English,37379,8.0,USA,21.10
197, La Vénus à la fourrure,Drama,96,2013,Roman Polanski,Emmanuelle Seigner / Matthew Amalric,French,43096,8.1,France/Poland,21.10
198, Jongens,Love / Gay,78,2014,Mischa Kemp,"Keith Blom, Ke Zandfleet, Jonas Smalls",Dutch,17573,8.1,Netherlands,21.10
199,2 Captain America: The Winter Soldier,Action / Sci-Fi / Adventure,136,2014,Anthony Russell / Joe Russell,Chris Evans / Scarlett Johansson / Sebastian Stan,English,414824,8.0,USA,21.10
200, Dabba,Drama / Romance,104,2013,Raishu Pichai,Irrfan Khan / Nimrat Kaur / Nawazuddin Siddigui,Hindi Hindi,12041,8.1,India/France/Germany/USA,21.10
201,return,Drama / History / Romance,111,2014,Zhang Yimou,Chen Daoming / Gong Li / Zhang Huiwen,Mandarin,336031,8.0,Mainland China,21.10
202,X-Men: Days of Future Past,Drama / Action / Science Fiction / Adventure,132,2014,Brian Singer,Hugh Jackman / James McAvoy / Michael Fassbender,English,423860,8.2,USA/UK,21.10
203,The Raid 2: Berandal,Drama / Action / Crime,150,2014,Gareth Evans,Iko Uwais / Yayan Ruhian / Masahiko / Iko Uwais,Indonesian,62386,8.1,Indonesia/USA,21.10
204, Edge of Tomorrow,Action / Sci-Fi,114,2014,Doug Liman,Tom Cruise / Emily Blunt / Brendan Gleeson,English,440543,8.1,USA / Canada,21.10
205,Ask This of Rikyu,Drama / Costume,123,2013,Tanaka Mitsui,Ichikawa Ezou / Nakatani Miki / Iseya Yusuke,Japanese,7368,8.1,Japan,21.10
206,Small house,Drama / Biography / History / Romance / Family,136,2014,Yoji Yamada,Ryuko Matsu / Chieko Besho / Hua Kuroki,Japanese,16259,8.2,Japan,21.10
207, Guardians of the Galaxy,Action / Sci-Fi / Adventure,121,2014,James Gunn,Chris Pratt / Zoe Saldana / Bradley Cooper,English,473113,8.1,USA/UK,21.10
208, The Judge,Drama,141,2014,David Dawkin,Robert Downey Jr. / Robert Duvall / Vera Farmiga,English,59880,8.0,USA,21.10
209,with you all the way,Drama / Comedy / Family,103,2014,Zhou Qingyuan,Li Shiping / Ben Pfeiffer / You Fengyin,Mandarin,4847,8.0,Malaysia,21.10
210, Draft Day,Drama / Sports,110,2014,Ivan Reitman,Kevin Costner / Jennifer Garner / Chris Berman,English,11840,8.0,USA,21.10
211,go to the end,Action / Crime / Thriller,111,2014,Kim Sung Hoon,Lee Sun-kyun / Cho Jin-woong / Shin Jung-geun,Korean,80942,8.0,South Korea,21.10
212, Kış Uykusu,Drama,196,2014,Nuri Big Ceylon,"Haruk Bilgenaar, Melissa Sotzen, Dimi Akbey",Turkish,24687,8.2,Turkey/France/Germany,21.10
213, Still Alice,Drama,101,2014,Richard Glazer / Wash Westmoreland,Julianne Moore / Kate Bosworth / Sean McRae,English,65826,8.0,USA/France,21.10
214, Qu'est-ce qu'on a fait au Bon Dieu?,Comedy / Family,97,2014,Philippe de Chauvron,Christian Clavier / Chantal Robbie / Ali Abidang,French,43402,8.0,France,21.10
215, Birdman or (The Unexpected Virtue of Ignorance),Drama / Comedy,119,2014,Alejandro Gonzalez Inarritu,Michael Keaton / Edward Norton / Emma Stone,English,233093,8.0,USA / Canada,21.10
216, Mommy,Drama / Family,139,2014,Xavier Dolan,Anna Dorval / Antoine-Oliver Bonian / Suzanne Clermont,French,25315,8.2,Canada,21.10
217, Rudderless,Drama / Music,105,2014,William H. Massey,Billy Crudup / Anton Yeltsin / Felicity Hoffman,English,19955,8.1,USA,21.10
218,1944,Drama / History / War,100,2015,Elmo Newganon,Kasper Wilberg / Christian Uxkula / McCann Schmidt,Estonian,18972,8.2,Estonia/Finland,21.10
219,Trial,Drama / Romance,96,2014,Alexander Cotter,An Huiyuan / Danila Rassomakhin / Karim Pakachakov,No dialogue,6688,8.2,Russia,21.10
220, Le Charme discret de la bourgeoisie,Comedy / Drama / Fantasy,102,1972,Luis Buñuel,Fernando Rey / Paul Frankel / Delphine Seliger,Spanish,26063,8.2,France,20.70
221,scorching sun,Drama / Crime / Mystery,139,2015,Cao Baoping,Deng Chao / Duan Yihong / Guo Tao,Mandarin,575755,8.2,Mainland China,21.10
222, Honig im Kopf,Drama,139,2014,Till Schweiger / Lars Gmelin,Till Schweiger / Emma Schweiger / Dieter Hallerwarden,German,3476,8.2,Germany,21.10
223,taxi,Drama / Comedy,82,2015,Jafar Panasi,Jafar Panasi,Persian,18038,8.1,Iran,21.10
224,Assassination,Drama / Action / History / Crime,139,2015,Choi Dong-hoon,Jun Ji Hyun / Lee Jung Jae / Ha Jung Woo,Korean,205477,8.1,South Korea,21.10
225, Me and Earl and the Dying Girl,Drama / Comedy,105,2015,Alfonso Gomez-Rejon,Thomas Mann / Olivia Cooke / RJ Saylor,English,84894,8.2,USA,21.10
226, The End of the Tour,Drama,106,2015,James Pontsault,Jason Segel / Jesse Eisenberg / Anna Kramsky,English,23493,8.0,USA,21.10
227, Youth,Drama / Comedy,124,2015,Paul Sorrentino,Rachel Weisz / Jane Fonda / Michael Caine,English,120437,8.2,Italy/France/Switzerland/UK,21.10
228,mountains and rivers deceased,Drama / Family,126,2015,Jia Zhangke,Zhao Tao / Zhang Yi / Liang Jingdong,English,273214,8.0,Mainland China/France/Japan,21.10
229,farewell party ,Drama / Comedy,95,2014,Tal Granit / Sharon Maimon,Jeff Revange / Alyssa Rosen / Yilan Dale,Hebrew,2653,8.0,Israel/Germany,21.10
230, Jack,Drama,103,2014,Edward Berger,Ivor Pittsk / Georg Arms / Luise Heyer,German,7160,8.1,Germany,21.10
231, Mustang,Drama,97,2015,Denise Aegwynn,Gunes Sensoy / Doga Zeinep Doguthru / Tugba Sanguroglu,Turkish,27459,8.0,Turkey/France/Qatar/Germany,21.10
232, War Room,Drama,120,2015,Alex Kendrick,Karen Abercrombie / Priscilla C. Schaller / T.C. Stallings,English,2201,8.1,USA,21.10
233,Kakekomi and Kakekomi,Drama / Comedy,143,2015,Harada Makoto,Oizumi Yang / Toda Erika / Mishima Hikaru,Japanese,14847,8.2,Japan,21.10
234, The Intern,Comedy,121,2015,Nancy Meyers,Robert De Niro / Anne Hathaway / Renee Russell,English,278717,8.0,USA,21.10
235, The Revenant,Drama / Action / Adventure,156,2015,Alejandro Gonzalez Inarritu,Leonardo DiCaprio / Tom Hardy / Domhnall Gleeson,English,389952,8.0,USA/Hong Kong/Taiwan,21.10
236, Bridge of Spies,Drama / Biography / History,141,2015,Steven Spielberg,Tom Hanks / Mark Rylance / Scott Sheppard,English,95171,8.1,USA/Germany/India,21.10
237,insiders,Drama / Action / Crime / Thriller,130,2015,Woo Min Ho,Lee Byung-hun / Cho Seung-woo / Baek Yoon-sik,Korean,101753,8.0,South Korea,21.10
238, Remember,Drama / Thriller,94,2015,Atom Igoyan,"Christopher Plummer, Dean Norris, Martin Landau",English,15450,8.2,Canada/Mexico/Germany/South Africa,21.10
239, Microbe et Gasoil,Comedy,105,2015,Michel Gondry,Angel Darjean / Theophile Baquet / Audrey Tautou,French,6783,8.1,France,21.10
240,I'm not Wang Mao,Comedy / War,92,2014,Zhao Xiaoxi,Wang Dazhi / Guo Jinjie / Ge Xiaofeng,Mandarin,63276,8.0,Mainland China,21.10
241, Eddie the Eagle,Drama / Comedy / Biography / Sports,105,2016,Dexter Fletcher,"Taron Edgerton, Hugh Jackman, Christopher Walken",English,61213,8.1,UK/US/Germany,21.10
242, Me Before You,Drama / Romance,110,2016,Thea Sherrock,Emilia Clarke / Sam Claflin / Jenny McTeer,English,291336,8.0,UK/USA,21.10
243,What a Wonderful Family,Comedy / Family,108,2016,Yoji Yamada,Isao Masuzume / Kazuko Yoshiyuki / Masahiko Nishimura,Japanese,49415,8.1,Japan,21.10
244,male and female,Drama / Romance,115,2016,Li Yinji,Gong Yoo / Jeon Do Yeon / Lee Mi So,Korean,72327,8.1,South Korea,21.10
245,lucky me lucky me,Drama / Family,113,2016,Luo Yaohui,Hui Yinghong / Chen Jiale / Liu Yasser,Cantonese,40434,8.0,Hong Kong/Mainland China,21.10
246, Hunt for the Wilderpeople,Drama / Comedy / Adventure,101,2016,Taika Waititi,Julian Denison / Sam Neill / Rima Te Vita,English,39868,8.1,new Zealand,21.10
247,Operation Mekong,Drama / Action / Crime,124,2016,Lin Chaoxian,Zhang Hanyu / Peng Yuyan / Sun Chun,Mandarin,692700,8.0,Mainland China/Hong Kong,21.10
248, L'avenir,Drama,102,2016,Mia Hansen-Love,Isabelle Huppert / Andre Marcon / Roman Colanca,French,50137,8.2,France Germany,21.10
249,Phantom light Phantom light,Drama,110,1995,It's Hirokazu-eda,Makiko Esumi / Takashi Naito / Tadanobu Asano,Japanese,19560,8.2,Japan,20.90
250, Hell or High Water,Drama / Crime / Western,102,2016,David Mackenzie,Chris Pine / Ben Foster / Jeff Bridges,English,59622,8.1,USA,21.10
251, Cardboard Boxer,Drama,88,2016,Nate Lee,Thomas Haden Church / Terrence Howard / Boyd Holbrook,English,9565,8.1,USA,21.10
252, A Street Cat Named Bob,Drama / Comedy / Biography,103,2016,Roger Sportswood,Luke Treadaway / Cat Bob / Ruta Godminas,English,191705,7.9,UK,21.10
253, Patriots Day,Drama / History / Thriller,133,2016,Peter Berg,Mark Wahlberg / Kevin Bacon / John Goodman,English,96400,8.1,USA,21.10
254, Paterson,Drama,118,2016,Jim Jarmusch,Adam Driver / Golshifteh Farahani / Nellie,English,49321,8.1,USA/France/Germany,21.10
255,Quo vado?,Comedy,86,2016,Gennaro Nuquiade,Ceco Zarone / Eleonora Giovannadi / Sonia Bergamasco,Italian,16823,8.1,Italy,21.10
256,Birthday card,Drama / Romance,123,2016,Yasuhiro Yoshida,Ai Hashimoto / Ao Nakamura / Kenta Suga,Japanese,15557,8.2,Japan,21.10
257, Gold,Drama / Thriller / Adventure,121,2016,Stephen Gahan,Matthew McConaughey / Edgar Ramirez / Bryce Dallas Howard,English,38647,8.2,USA,21.10
258,2 Guardians of the Galaxy Vol. 2,Action / Sci-Fi / Adventure,136,2017,James Gunn,Chris Pratt / Zoe Saldana / Dave Bautista,English,425708,8.0,USA,21.10
259, The Young Offenders,Comedy / Crime / Adventure,83,2016,Peter Ford,Alex Murphy / Chris Valley / Hilary Rose,English,13242,8.1,Ireland,21.10
260, Lou! Journal infime,Comedy,104,2014,Julian Nell,Lola Latheron / Ludwin Seigner / Kane Cojadi,French,10990,8.1,France/Belgium,21.10
261,eyewitness chasing eyewitness,Crime / Mystery / Thriller,117,2017,Cheng Weihao,Zhuang Kaixun / Xu Weining / Ke Jiayan,Mandarin,166679,8.2,ChinaTaiwan,21.10
262, Učiteľka,Drama,102,2016,Jan Hobeck,Suzanne Morali / Suzanne Koneshina / Jongor Kashoy,Slovak,9602,8.1,Slovakia/Czech,21.10
263,Other people Blanca and guitar playing,Drama / Music,75,2015,Hasei Hiroki,Sidel Gabetro / Peter Millari / Joma Bikiew,Tagalog,18521,8.2,Philippines/Japan/Italy,21.10
264,Surviving family Survival family,Comedy / Family,117,2016,Yaguchi Shijing,Fumiyo Kohinata / Eri Fukatsu / Yuki Izumi,Japanese,114606,8.0,Japan,21.10
265,clever cheating game,Drama / Crime / Mystery,130,2017,Natawu Pempiria,Judymon Joan Charong Suin / Chanon Sanding Tengku / Ishaya Hosuwang,Thai,670036,8.2,Thailand,21.10
266, Ustav Republike Hrvatske,Drama / Comedy / Gay,93,2016,Rajko Gorlic,"Neboisha Glogovac, Dejan Asimovic, Ksenja Malinkovic",Croatian,2796,8.2,Croatia/Czech/Slovenia/Macedonia,21.10
267,not a problem,Drama,133,2016,Mei Feng,Fan Wei / Yin Tao / Zhang Chao,Mandarin,96136,8.1,Mainland China/France,21.10
268,carnival,Drama,107,2017,Vivian Qu,Wen Qi / Zhou Meijun / Shi Ke,Mandarin,263635,8.2,Mainland China/France,21.10
269, Tôi thấy hoa vàng trên cỏ xanh,Drama / Children / Family,103,2015,Wu Guoyue,Morikoshi / Yasushi Sakae / Kiyomi,Vietnamese,3993,7.9,Vietnam,21.10
270,Teiichi no Kuni Teiichi no Kuni,Drama / Comedy,118,2017,Nagai Satoshi,Masaki Suda / Shuhei Nomura / Ryoma Takeuchi,Japanese,39339,8.1,Japan,21.10
271,2 Paddington 2,Comedy / Animation / Family,103,2017,Paul King,Ben Whishaw / Hugh Grant / Hugh Bonneville,English,246479,8.0,UK/France/US,21.10
272, Nise - O Coração da Loucura,Drama / Biography / History,109,2015,Roberto Burlinger,"Gloria Pierce, Roberta Rodriguez, Fernando Ellas",Portuguese,6323,8.0,Brazil,21.10
273, The Florida Project,Drama / Children,111,2017,Sean Baker,Brooklyn Prince / Bria Vinert / Willem Dafoe,English,103444,8.1,USA,21.10
274,steel rain,Action / Thriller,139,2017,Yang Yushuo,Jung Woo Sung / Guo Do Won / Kim Gap Soo,Korean,115483,8.2,South Korea,21.10
275, The Leisure Seeker,Comedy / Romance / Adventure,112,2017,Paul Welzy,Helen Mirren / Donald Sutherland / Jane Moloney,English,40078,8.1,Italy/France,21.10
276,Operation Red Sea,Action / War,138,2018,Lin Chaoxian,Zhang Yi / Huang Jingyu / Hai Qing,Mandarin,963607,8.3,Mainland China/Hong Kong,21.10
277, Au revoir là-haut,Comedy / War / Crime,117,2017,Albert Dupontaire,"Naville Perez Biscayatt, Albert Dupontaire, Roland Lafayette",French,36795,8.0,France/Canada,21.10
278,burst silent,Drama / Crime / Mystery,120,2017,Xin Yukun,Song Yang / Jiang Wu / Yuan Wenkang,Mandarin,446481,8.2,Mainland China,21.10
279,3： Avengers: Infinity War,Action / Sci-Fi / Fantasy / Adventure,149,2018,Anthony Russell / Joe Russell,Robert Downey Jr. / Chris Hemsworth / Chris Evans,English,738316,8.1,USA,21.10
280, Den 12. mann,Drama / History / War,135,2017,Harold Zwart,Jonathan Rhys Meyers / Thomas Gulestad / Mary Blochhus,English,12972,8.0,Norway,21.10
281, The Tale,Drama,114,2018,Jennifer Fox,Laura Dern / John Heard / Elizabeth Debicki,English,29487,8.2,USA,21.10
282,Elephant sitting on the ground,Drama,234,2018,Hu Bo,Peng Yuchang / Zhang Yu / Wang Yuwen,Mandarin,172639,8.1,Mainland China,21.10
283,Christopher Robin,Comedy / Animation / Adventure,104,2018,Mark Foster,Ewan McGregor / Hayley Atwell / Bronte Carmichael,English,36939,8.1,USA,21.10
284,anonymous,Drama / Comedy,108,2018,Rao Xiaozhi,Chen Jianbin / Ren Suxi / Pan Binlong,Mandarin,956392,8.0,Mainland China,21.10
285,bloody morning,Drama / Crime,94,1992,Li Shaohong,Zhao Jun / Hu Yajie / Kong Lin,Mandarin,6006,8.0,Mainland China,20.90
286,car watcher's july,Drama,95,2004,An Zhanjun,Fan Wei / Chen Xiaoyi / Zhao Jun,Mandarin,9568,8.0,Mainland China,21.00
287,Blessed are the ears,Drama / Comedy / Family,96,2008,Zhang Meng,Fan Wei / Cheng Shubo / Jaser,Mandarin,31129,8.1,Mainland China/Korea,21.00
288,warm spring,Drama / Family,85,2003,Ulantana,Tian Chengren / Zhang Yan / Hao Yang,Mandarin,33799,8.1,Mainland China,21.00
289,"Red light stop, green light go",Comedy,105,1996,Huang Jianxin,Niu Zhenhua / Ding Jiali / Wang Gang,Mandarin,7425,8.3,Mainland China,20.90
290,"beijing, good morning",Drama / Romance,100,1990,Zhang Nuanxin,Ma Xiaoqing / Wang Quanan / Jia Hongsheng,Mandarin,6143,8.1,Mainland China,20.90
291,look at this family,Drama,98,1979,Wang Haowei,Chen Qiang / Huang Ling / Chen Peisi,Mandarin,9951,8.1,Mainland China,20.70
292,dislocation,Science Fiction,85,1986,Huang Jianxin,Liu Zifeng / Mu Hong / Yang Kun,Mandarin,14333,8.1,Mainland China,20.80
293,Peacock,Drama / Family,136,2005,Gu Changwei,Zhang Jingchu / Feng Gou / Lu Yulai,Mandarin,121907,8.1,Mainland China,21.00
294,bullfighting,Drama / Comedy,109,2009,Guan Hu,Huang Bo / Yan Ni / Gao Hu,Chinese,183663,8.1,Mainland China,21.00
295,Suzhou River,Drama / Romance,83,2000,Lou Ye,Zhou Xun / Jia Hongsheng / Hua Zhongkai,Mandarin,195006,8.2,Mainland China/Germany,21.00
296,novel,Drama / Romance,90,2007,Lu Le,Wang Zhiwen / Wang Tong / Acheng,Mandarin,6243,8.2,Mainland China,21.00
297,Shangganling,War / Drama,124,1956,Shamon / Lin Shan,Gao Baocheng / Xu Linge / Zhang Liang,Mandarin,15769,8.3,Mainland China,20.50
298,"Stand up straight, don't get down",Comedy,112,1993,Huang Jianxin,Da Shichang / Feng Gong / Fu Lili,Mandarin,19675,8.3,Mainland China,20.90
299, Roma,Drama / Family,135,2018,Alfonso Cuaron,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autry",Spanish,136489,8.2,Mexico/USA,21.10
300,dog thirteen,Drama / Family,120,2013,Cao Baoping,Zhang Xueying / Guo Jinglin / Zhi Yitong,Mandarin,469793,8.2,Mainland China,21.10
301,No need for a camcorder! Don't stop the camera!,Comedy / Horror,96,2017,Shinichiro Ueda,Takayuki Hamatsu / Mao / Harumi Shuhama,Japanese,174796,8.2,Japan,21.10
302, Andhadhun,Comedy / Crime / Mystery / Thriller,139,2018,Sriram Raghavan,Ayushman Khurana / Tabu / Radhika Apte,Hindi,864331,8.2,India,21.10
303,Swing frenzy ,Drama / War / Song And Dance,133,2018,Jiang Jiongzhe,Do Kyung Soo / Park Hye Soo / Oh Jung Se,Korean,49775,8.2,South Korea,21.10
304, Girl,Drama / Gay,105,2018,Lucas DeHoot,Victor Polster / Arie Walsallt / Oliver Bodart,French,35752,8.1,Belgium/Netherlands,21.10
305, The Boy Who Harnessed the Wind,Drama,113,2019,Chiwetel Ejiofor,Chiwetel Ejiofor / Maxwell Simba / Felix Lemburo,Arabic,19895,8.2,UK/Malawi,21.10
306,Forever,Drama / Family,175,2019,Wang Xiaoshuai,Wang Jingchun / Yong Mei / Qi Xi,Mandarin,335873,8.0,Mainland China,21.10
307,Code Blue-Doctor Heli Emergency Lifesaving-,Drama,128,2018,Masanori Nishiura,Yamashita Tomohisa / Aragaki Yui / Toda Erika,Japanese,9347,8.1,Japan,21.10
308, A Boy Called Sailboat,Drama / Comedy / Family,92,2018,Cameron Nugent,J.K. Simmons / Jake Busey / Noel Gugremy,English,1814,8.0,USA/Australia,21.10
309,Lore Munich Движение вверх,Drama / Sports,133,2017,Anton Megordichev,Vladimir Mashkov / John Savage / Marat Basharov,Georgian,161087,8.1,Russia,21.10
310,young client,Drama / Crime,114,2019,Zhang Guisheng,Lee Dong-hui / Yoo Sun / Ko So-hee,Korean,56278,8.1,South Korea,21.10
311, Les chatouilles,Drama,103,2018,Andrea Bescon / Eric Metaier,"Andrea Bescon, Carlene Weyer, Clovis Corniac",French,12253,8.0,France,21.10
312,Fallen people Fallen people,Drama,112,2018,Chen Xiaojuan,Huang Qiusheng / Krisel Kongsongxi / Ye Tong,Cantonese,38474,8.2,Hong Kong,21.10
314,El Camino: A Breaking Bad Movie,Drama / Crime / Thriller,122,2019,Vince Gilligan,Aaron Paul / Jonathan Banks / Matt Jones,English,70786,8.0,USA,21.10
315,JP： コンフィデンスマンJP,Comedy / Suspense,116,2019,Tanaka Ryo,Masami Nagasawa / Masahiro Higashide / Fumiyo Kohinata,Japanese,52601,8.1,Japan,21.10
316, Downton Abbey,Drama,122,2019,Michael Engler,"Michelle Dockery, Hugh Bonneville, Elizabeth McGovern",English,87658,8.0,UK/USA,21.10
317,Kozumi in Kyoto I lived in Kyoto for a while.,Drama / Family,74,2019,Yoshimi Takuma,Fumino Kimura / Masaomi Kondo,Japanese,21198,8.1,Japan,21.10
318,Richard Jewell,Drama / Biography / Crime,131,2019,Clint Eastwood,Paul Walter Houser / Sam Rockwell / Kathy Bates,English,108003,8.2,USA,21.10
319,Managers of Namsan,Drama / History / Thriller,114,2020,Woo Min Ho,Lee Byung Hun / Lee Sung Min / Kwok Do Won,Korean,140705,8.1,South Korea,21.20
320, La belle époque,Drama / Comedy / Romance,115,2019,Nicholas Bedos,"Daniel Ottery, Guillaume Canet, Doria Tillier",French,30751,8.1,France/Belgium,21.10
321, Les Misérables,Drama / Crime,104,2019,Raj Lee,Damian Bernal / Alexis Mandy / Jabril Zonga,French,53316,8.1,France,21.10
322, Nabarvené ptáče,Drama / War,169,2019,Vaclav Marhall,Peter Cottard / Stellan Skarsgard / Harvey Keitel,Czech,10558,8.1,Czech / Slovakia / Ukraine,21.10
323,Thưa mẹ con đi,Drama / Romance / Gay,106,2019,Zheng Ting Liming,Ling Qing / Takeda Kahui / Hearts,Vietnamese,17835,8.1,Vietnam,21.10
324, The Half of It,Comedy / Romance / Gay,104,2020,Wu Siwei,Leah Lewis / Daniel Diemer / Alexis Le Maire,English,131968,8.0,USA,21.20
325,Village Opera,Drama,99,2017,Zheng Dasheng,Li Zhibing / Liang Chunzhu / Wang Chunming,Hebei Jingxing dialect,13413,8.0,Mainland China,21.10
326,glorious rage,Drama,101,2006,Cao Baoping,Wu Gang / Wang Yanhui / Li Xiaobo,Mandarin,26899,8.2,Mainland China,21.00
327,waiting alone,Comedy / Romance / Drama,107,2004,Wu Shixian,Xia Yu / Li Bingbing / Gong Beibi,Mandarin,195907,8.2,Mainland China,21.00
328, Anatomy of a Murder,Drama / Crime / Mystery / Thriller,160,1959,Otto Preminger,James Stewart / Leigh Remick / Ben Gorzana,English,6073,8.2,USA,20.50
329, After Hours,Drama / Comedy / Thriller,97,1985,Martin Scorsese,"Griffin Dunn, Rosanna Arquette, Verna Bloom",English,8296,8.2,USA,20.80
330,urban love,Drama / Romance,98,1994,Liu Zhenwei,Dawn / Wu Mengda / Wu Qianlian,Cantonese,5816,8.2,Hong Kong,20.90
331, Do the Right Thing,Drama / Comedy,120,1989,Spike Lee,Danny Aiello / Ossie Davis / Ruby Dee,English,12892,8.2,USA,20.80
332, The Night of the Hunter,Crime / Thriller / Film Noir,92,1955,Charles Lawton,Robert Mitchum / Shelley Winters / Lillian Gish,English,8034,8.0,USA,20.50
333,"Roma, città aperta",Drama / War / Thriller,103,1945,Roberto Rossellini,Aldo Fabrizzi / Ana Magnani / Marcelo Baggliero,Italian,12767,8.0,Italy,20.40
334,Ermei,Drama,98,1994,Zhou Xiaowen,Alia / Liu Peiqi / Ge Zhijun,Mandarin,4786,8.1,Mainland China/Hong Kong,20.90
335,unmarried man,Drama / Comedy / Gay,94,2010,Hao Jie,Yang Zhenjun / Ye Lan / Liang Youzhong,Hebei dialect,44629,8.1,Mainland China,21.10
336, Air Bud,Comedy / Sports,98,1997,Charles Martin Smith,Michael Jett / Kevin Seggs / Wendy McKenna,English,5491,8.2,USA / Canada,20.90
337, Two for the Road,Drama / Comedy / Romance,111,1967,Stanley Dornan,Audrey Hepburn / Albert Finney / Eleanor Burrow,English,4998,8.1,UK,20.60
338, Kiss of the Spider Woman,Drama / Gay,120,1985,Hector Barbank,William Hurt / Raul Julia / Sonia Braga,English,5601,8.2,USA/Brazil,20.80
